1556.44	0	1794.85	0	328800	0
0	24970	0	-93300	0	125200
1794.85	0	62810	0	503100	0
0	-93300	0	2110000	0	1023000
328800	0	503100	0	139700000	0
0	125200	0	1023000	0	33160000
1621.5	0	1855.42	0	350200	0
0	24900	0	-95260	0	123100
1855.42	0	65990	0	525300	0
0	-95260	0	2124000	0	987500
350200	0	525300	0	145300000	0
0	123100	0	987500	0	32080000
1677.9	0	1898.49	0	369000	0
0	24580	0	-95750	0	120400
1898.49	0	69450	0	549100	0
0	-95750	0	2131000	0	952900
369000	0	549100	0	150300000	0
0	120400	0	952900	0	31020000
1723.53	0	1923.76	0	384800	0
0	24090	0	-95040	0	117200
1923.76	0	73090	0	573700	0
0	-95040	0	2131000	0	921600
384800	0	573700	0	154600000	0
0	117200	0	921600	0	30050000
1757.27	0	1933.56	0	397100	0
0	23510	0	-93510	0	113900
1933.56	0	76870	0	598600	0
0	-93510	0	2125000	0	894700
397100	0	598600	0	158000000	0
0	113900	0	894700	0	29180000
1778.98	0	1931.48	0	405900	0
0	22890	0	-91470	0	110700
1931.48	0	80750	0	623600	0
0	-91470	0	2116000	0	872300
405900	0	623600	0	160500000	0
0	110700	0	872300	0	28420000
1789.4	0	1921.27	0	411400	0
0	22270	0	-89190	0	107700
1921.27	0	84720	0	648800	0
0	-89190	0	2105000	0	853900
411400	0	648800	0	162300000	0
0	107700	0	853900	0	27760000
1789.9	0	1906.11	0	413900	0
0	21680	0	-86870	0	105000
1906.11	0	88790	0	674100	0
0	-86870	0	2093000	0	839000
413900	0	674100	0	163200000	0
0	105000	0	839000	0	27200000
1782.26	0	1888.49	0	414000	0
0	21130	0	-84610	0	102600
1888.49	0	93010	0	700100	0
0	-84610	0	2081000	0	826900
414000	0	700100	0	163500000	0
0	102600	0	826900	0	26720000
1775.99	0	1879.34	0	413200	0
0	20880	0	-83540	0	101500
1879.34	0	95190	0	713500	0
0	-83540	0	2076000	0	821700
413200	0	713500	0	163400000	0
0	101500	0	821700	0	26500000
1768.36	0	1870.15	0	412000	0
0	20640	0	-82510	0	100500
1870.15	0	97430	0	727200	0
0	-82510	0	2070000	0	817000
412000	0	727200	0	163200000	0
0	100500	0	817000	0	26310000
1750	0	1852.27	0	408500	0
0	20200	0	-80580	0	98620
1852.27	0	102100	0	755700	0
0	-80580	0	2059000	0	808900
408500	0	755700	0	162600000	0
0	98620	0	808900	0	25950000
1728.8	0	1835.54	0	404100	0
0	19820	0	-78850	0	96990
1835.54	0	107100	0	786400	0
0	-78850	0	2049000	0	802300
404100	0	786400	0	161600000	0
0	96990	0	802300	0	25650000
1706.1	0	1820.38	0	399000	0
0	19480	0	-77310	0	95570
1820.38	0	112600	0	820000	0
0	-77310	0	2040000	0	796900
399000	0	820000	0	160500000	0
0	95570	0	796900	0	25400000
1683	0	1806.98	0	393500	0
0	19190	0	-75960	0	94360
1806.98	0	118600	0	857400	0
0	-75960	0	2033000	0	792400
393500	0	857400	0	159300000	0
0	94360	0	792400	0	25180000
1660.34	0	1795.4	0	388000	0
0	18940	0	-74790	0	93320
1795.4	0	125400	0	899800	0
0	-74790	0	2026000	0	788800
388000	0	899800	0	158100000	0
0	93320	0	788800	0	24990000
1638.79	0	1785.58	0	382700	0
0	18730	0	-73790	0	92450
1785.58	0	133200	0	948900	0
0	-73790	0	2020000	0	785900
382700	0	948900	0	156900000	0
0	92450	0	785900	0	24840000
1618.88	0	1777.46	0	377600	0
0	18550	0	-72940	0	91730
1777.46	0	142400	0	1007000	0
0	-72940	0	2014000	0	783500
377600	0	1007000	0	155900000	0
0	91730	0	783500	0	24710000
